Date,Time,Hour,Day_of_Week,Month,Day_Type,Peak_Hour,Train_ID,Origin_Station,Destination_Station,Route,Passenger_Count,Ticket_Type,Class_Type,Total_Capacity,Available_Seats,Temperature,Rainfall,Weather_Condition,Holiday,Event_Name
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,296,Reserved,1st Class,500,204,30,0,Cloudy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,391,Reserved,3rd Class,500,109,31,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,134,Unreserved,1st Class,500,366,27,0,Cloudy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,332,Reserved,3rd Class,500,168,32,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,369,Reserved,2nd Class,500,131,30,0,Cloudy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T102,Colombo Fort,Kandy,Colombo Fort → Kandy,115,Unreserved,3rd Class,500,385,31,14,Rainy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Kandy,Colombo Fort → Kandy,298,Unreserved,1st Class,500,202,28,0,Sunny,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T102,Colombo Fort,Kandy,Colombo Fort → Kandy,106,Reserved,3rd Class,500,394,27,9,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Kandy,Colombo Fort → Kandy,439,Unreserved,3rd Class,500,61,28,0,Sunny,Yes,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Kandy,Colombo Fort → Kandy,360,Reserved,2nd Class,500,140,31,2,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T201,Colombo Fort,Kandy,Colombo Fort → Kandy,151,Reserved,2nd Class,500,349,28,13,Rainy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Kandy,Colombo Fort → Kandy,308,Unreserved,1st Class,500,192,26,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T201,Colombo Fort,Kandy,Colombo Fort → Kandy,199,Unreserved,3rd Class,500,301,30,3,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Kandy,Colombo Fort → Kandy,333,Unreserved,1st Class,500,167,29,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Kandy,Colombo Fort → Kandy,369,Unreserved,2nd Class,500,131,30,8,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T202,Colombo Fort,Kandy,Colombo Fort → Kandy,195,Reserved,2nd Class,500,305,26,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Kandy,Colombo Fort → Kandy,374,Unreserved,1st Class,500,126,28,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T202,Colombo Fort,Kandy,Colombo Fort → Kandy,198,Unreserved,3rd Class,500,302,30,0,Cloudy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Kandy,Colombo Fort → Kandy,364,Unreserved,1st Class,500,136,27,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Kandy,Colombo Fort → Kandy,372,Unreserved,3rd Class,500,128,28,0,Cloudy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T301,Colombo Fort,Kandy,Colombo Fort → Kandy,206,Unreserved,2nd Class,500,294,28,10,Rainy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Kandy,Colombo Fort → Kandy,342,Reserved,3rd Class,500,158,32,1,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T301,Colombo Fort,Kandy,Colombo Fort → Kandy,181,Reserved,3rd Class,500,319,31,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Kandy,Colombo Fort → Kandy,438,Unreserved,2nd Class,500,62,27,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Kandy,Colombo Fort → Kandy,308,Unreserved,3rd Class,500,192,28,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T101,Colombo Fort,Galle,Colombo Fort → Galle,203,Reserved,3rd Class,500,297,31,0,Cloudy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Galle,Colombo Fort → Galle,324,Reserved,2nd Class,500,176,27,0,Sunny,No,
