Date,Time,Hour,Day_of_Week,Month,Day_Type,Peak_Hour,Train_ID,Origin_Station,Destination_Station,Route,Passenger_Count,Ticket_Type,Class_Type,Total_Capacity,Available_Seats,Temperature,Rainfall,Weather_Condition,Holiday,Event_Name,True_Label,IF_Pred_Label,IF_Fraud_Label,IF_Risk_Score,SVM_Pred_Label,SVM_Fraud_Label,AE_Pred_Label,AE_Fraud_Label,AE_Reconstruction_Error,Pred_Label,Fraud_Label,Risk_Score,Risk_Level
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T101,Colombo Fort,Kandy,3,296,0,0,500,204,30,0,Cloudy,No,,0,0,Normal,23.77,0,Normal,0,Normal,0.0,0,Normal,23.77,Low
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Kandy,3,391,0,2,500,109,31,0,Cloudy,No,,0,0,Normal,31.2,0,Normal,0,Normal,0.0,0,Normal,31.2,Low
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T101,Colombo Fort,Kandy,3,134,1,0,500,366,27,0,Cloudy,No,,0,0,Normal,34.98,0,Normal,0,Normal,0.0,0,Normal,34.98,Low
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Kandy,3,332,0,2,500,168,32,0,Cloudy,No,,0,0,Normal,17.97,0,Normal,0,Normal,0.0,0,Normal,17.97,Low
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Kandy,3,369,0,1,500,131,30,0,Cloudy,No,,0,0,Normal,9.77,0,Normal,0,Normal,0.0,0,Normal,9.77,Low
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T102,Colombo Fort,Kandy,3,115,1,2,500,385,31,14,Rainy,No,,0,0,Normal,63.45,0,Normal,0,Normal,0.0,0,Normal,63.45,Medium
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Kandy,3,298,1,0,500,202,28,0,Sunny,No,,0,0,Normal,16.45,0,Normal,0,Normal,0.0,0,Normal,16.45,Low
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T102,Colombo Fort,Kandy,3,106,0,2,500,394,27,9,Rainy,No,,0,0,Normal,62.45,0,Normal,0,Normal,0.0,0,Normal,62.45,Medium
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Kandy,3,439,1,2,500,61,28,0,Sunny,Yes,,1,0,Normal,51.11,0,Normal,0,Normal,0.0,0,Normal,51.11,Medium
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Kandy,3,360,0,1,500,140,31,2,Rainy,No,,0,0,Normal,26.03,0,Normal,0,Normal,0.0,0,Normal,26.03,Low
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T201,Colombo Fort,Kandy,3,151,0,1,500,349,28,13,Rainy,No,,0,0,Normal,46.39,0,Normal,1,Suspicious,0.0,0,Normal,46.39,Medium
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Kandy,3,308,1,0,500,192,26,0,Cloudy,No,,0,0,Normal,23.01,0,Normal,0,Normal,0.0,0,Normal,23.01,Low
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T201,Colombo Fort,Kandy,3,199,1,2,500,301,30,3,Rainy,No,,0,0,Normal,30.31,0,Normal,0,Normal,0.0,0,Normal,30.31,Low
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Kandy,3,333,1,0,500,167,29,0,Cloudy,No,,0,0,Normal,11.87,0,Normal,0,Normal,0.0,0,Normal,11.87,Low
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Kandy,3,369,1,1,500,131,30,8,Rainy,No,,0,0,Normal,28.25,0,Normal,0,Normal,0.0,0,Normal,28.25,Low
