date,actual_demand,predicted_demand
2024-01-01,5814,6298
2024-01-02,4080,6253
2024-01-03,4303,5955
2024-01-04,5676,5867
2024-01-05,9046,5913
2024-01-06,4665,6343
2024-01-07,6146,6043
2024-01-08,6826,6104
2024-01-09,4720,6147
2024-01-10,5270,5905
2024-01-11,5048,5901
2024-01-12,5264,5870
2024-01-13,7605,5832
2024-01-14,8720,6209
2024-01-15,5391,6497
2024-01-16,5726,6275
2024-01-17,5213,6309
2024-01-18,5038,6240
2024-01-19,5319,6149
2024-01-20,4108,6038
2024-01-21,8202,5844
2024-01-22,5332,6288
2024-01-23,6029,6071
2024-01-24,5463,6151
2024-01-25,5600,6092
2024-01-26,9411,6090
2024-01-27,3643,6618
2024-01-28,6488,6056
2024-01-29,4421,6189
2024-01-30,3232,5963
2024-01-31,7007,5661
2024-02-01,6627,6004
2024-02-02,5048,6105
2024-02-03,4501,5972
2024-02-04,6156,5853
2024-02-05,4415,5914
2024-02-06,3841,5721
2024-02-07,2814,5503
2024-02-08,4142,5163
2024-02-09,4401,5074
2024-02-10,2037,4913
2024-02-11,2444,4524
2024-02-12,4907,4170
2024-02-13,4705,4333
2024-02-14,4973,4460
2024-02-15,4822,4504
2024-02-16,3654,4526
2024-02-17,7758,4409
2024-02-18,4654,4971
2024-02-19,3593,4877
2024-02-20,2657,4752
2024-02-21,2734,4512
2024-02-22,4332,4321
2024-02-23,6095,4384
2024-02-24,3232,4720
2024-02-25,3452,4569
2024-02-26,3287,4492
2024-02-27,4654,4326
2024-02-28,2129,4411
2024-02-29,4454,4058
2024-03-01,1285,4139
2024-03-02,4715,3703
2024-03-03,1314,3790
2024-03-04,5577,3380
2024-03-05,5235,3775
2024-03-06,7054,4082
2024-03-07,4660,4613
2024-03-08,4853,4629
2024-03-09,4978,4681
2024-03-10,5857,4800
2024-03-11,5434,5036
2024-03-12,9517,5164
2024-03-13,3362,5860
2024-03-14,3933,5498
2024-03-15,6196,5418
2024-03-16,6571,5711
2024-03-17,7072,5891
2024-03-18,6567,6165
2024-03-19,5370,6214
2024-03-20,6402,6122
2024-03-21,3529,6200
2024-03-22,3915,5871
2024-03-23,4749,5723
2024-03-24,2574,5692
2024-03-25,6967,5271
2024-03-26,5504,5651
2024-03-27,5860,5521
2024-03-28,4444,5652
2024-03-29,6517,5525
2024-03-30,6382,5711
2024-03-31,5406,5775
2024-04-01,4672,5693
2024-04-02,5652,5564
2024-04-03,8652,5649
2024-04-04,6413,6113
2024-04-05,5538,6132
2024-04-06,1638,6121
2024-04-07,7249,5561
2024-04-08,6797,6061
2024-04-09,5154,6129
2024-04-10,4263,6004
2024-04-11,6175,5810
2024-04-12,7608,5979
2024-04-13,6260,6216
2024-04-14,6158,6175
2024-04-15,7247,6207
2024-04-16,6117,6405
2024-04-17,4256,6355
2024-04-18,7812,6044
2024-04-19,5323,6402
2024-04-20,2796,6230
2024-04-21,3399,5902
2024-04-22,4594,5632
2024-04-23,5081,5560
2024-04-24,6571,5571
2024-04-25,3639,5805
2024-04-26,4967,5460
2024-04-27,8913,5402
2024-04-28,10012,5942
2024-04-29,6104,6387
2024-04-30,3617,6188
2024-05-01,4834,5879
2024-05-02,7375,5888
2024-05-03,3131,6158
2024-05-04,7193,5743
2024-05-05,2678,6167
2024-05-06,7229,5703
2024-05-07,2163,6107
2024-05-08,6067,5524
2024-05-09,5912,5725
2024-05-10,5213,5815
2024-05-11,3261,5759
2024-05-12,4726,5333
2024-05-13,8185,5198
2024-05-14,6940,5685
2024-05-15,4506,5850
2024-05-16,5890,5670
2024-05-17,3978,5735
2024-05-18,8191,5565
2024-05-19,4015,6016
2024-05-20,5783,5746
2024-05-21,5774,5824
2024-05-22,3493,5927
2024-05-23,6084,5603
2024-05-24,3857,5775
2024-05-25,3944,5524
2024-05-26,6276,5418
2024-05-27,7325,5642
2024-05-28,7535,5827
2024-05-29,6945,6007
2024-05-30,8482,6130
2024-05-31,4601,6446
2024-06-01,7743,6175
2024-06-02,4699,6459
2024-06-03,3440,6232
2024-06-04,6294,5951
