date,class,predicted_demand,actual_demand
2024-01-01,1st Class,242,294
2024-01-01,2nd Class,1706,1752
2024-01-01,3rd Class,3331,3768
2024-01-02,1st Class,224,202
2024-01-02,2nd Class,1377,1203
2024-01-02,3rd Class,2982,2675
2024-01-03,1st Class,231,214
2024-01-03,2nd Class,1476,1323
2024-01-03,3rd Class,3050,2766
2024-01-04,1st Class,278,276
2024-01-04,2nd Class,1744,1690
2024-01-04,3rd Class,3672,3710
2024-01-05,1st Class,436,447
2024-01-05,2nd Class,2724,2744
2024-01-05,3rd Class,5856,5855
2024-01-06,1st Class,205,233
2024-01-06,2nd Class,1274,1413
2024-01-06,3rd Class,2767,3019
2024-01-07,1st Class,285,315
2024-01-07,2nd Class,1776,1866
2024-01-07,3rd Class,3777,3965
2024-01-08,1st Class,318,333
2024-01-08,2nd Class,1971,2044
2024-01-08,3rd Class,4119,4449
2024-01-09,1st Class,233,228
2024-01-09,2nd Class,1442,1400
2024-01-09,3rd Class,3166,3092
2024-01-10,1st Class,258,257
2024-01-10,2nd Class,1568,1561
2024-01-10,3rd Class,3310,3452
2024-01-11,1st Class,230,247
2024-01-11,2nd Class,1446,1471
2024-01-11,3rd Class,2928,3330
2024-01-12,1st Class,260,261
2024-01-12,2nd Class,1659,1550
2024-01-12,3rd Class,3516,3453
2024-01-13,1st Class,366,382
2024-01-13,2nd Class,2253,2308
2024-01-13,3rd Class,4896,4915
2024-01-14,1st Class,393,442
2024-01-14,2nd Class,2424,2624
2024-01-14,3rd Class,5221,5654
2024-01-15,1st Class,281,264
2024-01-15,2nd Class,1700,1631
2024-01-15,3rd Class,3658,3496
2024-01-16,1st Class,246,284
2024-01-16,2nd Class,1519,1720
2024-01-16,3rd Class,3134,3722
2024-01-17,1st Class,248,262
2024-01-17,2nd Class,1531,1548
2024-01-17,3rd Class,3133,3403
2024-01-18,1st Class,231,251
2024-01-18,2nd Class,1410,1514
2024-01-18,3rd Class,2921,3273
2024-01-19,1st Class,262,264
2024-01-19,2nd Class,1615,1596
2024-01-19,3rd Class,3500,3459
2024-01-20,1st Class,188,208
2024-01-20,2nd Class,1136,1222
2024-01-20,3rd Class,2538,2678
2024-01-21,1st Class,391,414
2024-01-21,2nd Class,2400,2499
2024-01-21,3rd Class,5182,5289
2024-01-22,1st Class,235,259
2024-01-22,2nd Class,1459,1616
2024-01-22,3rd Class,3141,3457
2024-01-23,1st Class,276,304
2024-01-23,2nd Class,1710,1776
2024-01-23,3rd Class,3636,3949
2024-01-24,1st Class,269,273
2024-01-24,2nd Class,1641,1658
2024-01-24,3rd Class,3511,3532
2024-01-25,1st Class,274,287
2024-01-25,2nd Class,1672,1697
2024-01-25,3rd Class,3498,3616
2024-01-26,1st Class,486,470
2024-01-26,2nd Class,2971,2882
2024-01-26,3rd Class,6363,6059
2024-01-27,1st Class,175,181
2024-01-27,2nd Class,1072,1101
2024-01-27,3rd Class,2344,2361
2024-01-28,1st Class,321,323
2024-01-28,2nd Class,1907,1963
2024-01-28,3rd Class,4197,4202
2024-01-29,1st Class,218,228
2024-01-29,2nd Class,1315,1305
2024-01-29,3rd Class,2794,2888
2024-01-30,1st Class,146,164
2024-01-30,2nd Class,893,992
2024-01-30,3rd Class,1961,2076
2024-01-31,1st Class,315,349
2024-01-31,2nd Class,1977,2093
2024-01-31,3rd Class,4157,4565
2024-02-01,1st Class,297,332
2024-02-01,2nd Class,1866,1993
2024-02-01,3rd Class,3776,4302
2024-02-02,1st Class,265,251
2024-02-02,2nd Class,1646,1521
2024-02-02,3rd Class,3450,3276
2024-02-03,1st Class,239,239
2024-02-03,2nd Class,1490,1337
2024-02-03,3rd Class,3150,2925
2024-02-04,1st Class,293,305
2024-02-04,2nd Class,1763,1862
2024-02-04,3rd Class,3845,3989
2024-02-05,1st Class,229,211
2024-02-05,2nd Class,1409,1331
2024-02-05,3rd Class,2934,2873
2024-02-06,1st Class,200,191
2024-02-06,2nd Class,1208,1171
2024-02-06,3rd Class,2534,2479
2024-02-07,1st Class,152,147
2024-02-07,2nd Class,892,846
2024-02-07,3rd Class,1997,1821
2024-02-08,1st Class,232,211
2024-02-08,2nd Class,1395,1247
2024-02-08,3rd Class,2986,2684
2024-02-09,1st Class,226,221
2024-02-09,2nd Class,1385,1283
2024-02-09,3rd Class,3017,2897
2024-02-10,1st Class,122,100
2024-02-10,2nd Class,762,614
2024-02-10,3rd Class,1613,1323
2024-02-11,1st Class,137,129
2024-02-11,2nd Class,803,744
2024-02-11,3rd Class,1777,1571
2024-02-12,1st Class,249,243
2024-02-12,2nd Class,1454,1470
2024-02-12,3rd Class,3243,3194
2024-02-13,1st Class,251,241
2024-02-13,2nd Class,1591,1391
2024-02-13,3rd Class,3396,3073
2024-02-14,1st Class,248,255
2024-02-14,2nd Class,1524,1514
2024-02-14,3rd Class,3306,3204
2024-02-15,1st Class,251,236
2024-02-15,2nd Class,1544,1437
2024-02-15,3rd Class,3207,3149
2024-02-16,1st Class,211,181
2024-02-16,2nd Class,1306,1091
2024-02-16,3rd Class,2760,2382
2024-02-17,1st Class,333,392
2024-02-17,2nd Class,2119,2338
2024-02-17,3rd Class,4407,5028
2024-02-18,1st Class,229,241
2024-02-18,2nd Class,1388,1389
2024-02-18,3rd Class,2942,3024
2024-02-19,1st Class,171,175
2024-02-19,2nd Class,1094,1070
2024-02-19,3rd Class,2255,2348
2024-02-20,1st Class,130,134
2024-02-20,2nd Class,786,774
2024-02-20,3rd Class,1657,1749
2024-02-21,1st Class,153,143
2024-02-21,2nd Class,938,807
2024-02-21,3rd Class,2072,1784
2024-02-22,1st Class,247,219
