date,route,train_type,class,base_capacity,predicted_demand,allocated_seats,actual_tickets_sold,seat_utilization_pct
2024-01-01,Colombo Fort - Anuradhapura,Intercity,1st Class,37,27,44,30,61.36
2024-01-01,Colombo Fort - Anuradhapura,Intercity,2nd Class,225,212,270,176,78.52
2024-01-01,Colombo Fort - Anuradhapura,Intercity,3rd Class,487,371,435,396,85.29
2024-01-01,Colombo Fort - Batticaloa,Intercity,1st Class,37,27,44,37,61.36
2024-01-01,Colombo Fort - Batticaloa,Intercity,2nd Class,225,209,270,225,77.41
2024-01-01,Colombo Fort - Batticaloa,Intercity,3rd Class,487,388,435,451,89.2
2024-01-01,Colombo Fort - Galle,Intercity,1st Class,37,26,26,33,100.0
2024-01-01,Colombo Fort - Galle,Intercity,2nd Class,225,203,270,185,75.19
2024-01-01,Colombo Fort - Galle,Intercity,3rd Class,487,362,453,387,79.91
2024-01-01,Colombo Fort - Jaffna,Night Mail,1st Class,32,27,27,30,100.0
2024-01-01,Colombo Fort - Jaffna,Night Mail,2nd Class,195,199,199,182,100.0
2024-01-01,Colombo Fort - Jaffna,Night Mail,3rd Class,422,393,423,422,92.91
2024-01-01,Colombo Fort - Jaffna,Slow/Local,1st Class,25,25,25,21,100.0
2024-01-01,Colombo Fort - Jaffna,Slow/Local,2nd Class,150,129,129,123,100.0
2024-01-01,Colombo Fort - Jaffna,Slow/Local,3rd Class,325,308,346,273,89.02
2024-01-01,Colombo Fort - Kurunegala,Express,1st Class,45,31,32,45,96.88
2024-01-01,Colombo Fort - Kurunegala,Express,2nd Class,270,213,324,270,65.74
2024-01-01,Colombo Fort - Kurunegala,Express,3rd Class,585,421,544,563,77.39
2024-01-01,Colombo Fort - Matara,Intercity,1st Class,37,27,44,37,61.36
2024-01-01,Colombo Fort - Matara,Intercity,2nd Class,225,205,270,225,75.93
2024-01-01,Colombo Fort - Matara,Intercity,3rd Class,487,356,435,486,81.84
2024-01-01,Colombo Fort - Puttalam,Intercity,1st Class,37,27,44,37,61.36
2024-01-01,Colombo Fort - Puttalam,Intercity,2nd Class,225,204,270,225,75.56
2024-01-01,Colombo Fort - Puttalam,Intercity,3rd Class,487,418,435,484,96.09
2024-01-01,Colombo Fort - Vavuniya,Slow/Local,1st Class,25,25,25,24,100.0
2024-01-01,Colombo Fort - Vavuniya,Slow/Local,2nd Class,150,132,132,141,100.0
2024-01-01,Colombo Fort - Vavuniya,Slow/Local,3rd Class,325,314,343,306,91.55
2024-01-02,Colombo Fort - Anuradhapura,Express,1st Class,45,33,54,36,61.11
2024-01-02,Colombo Fort - Anuradhapura,Express,2nd Class,270,200,324,203,61.73
2024-01-02,Colombo Fort - Anuradhapura,Express,3rd Class,585,427,522,498,81.8
2024-01-02,Colombo Fort - Batticaloa,Slow/Local,1st Class,25,19,30,19,63.33
2024-01-02,Colombo Fort - Batticaloa,Slow/Local,2nd Class,150,109,180,118,60.56
2024-01-02,Colombo Fort - Batticaloa,Slow/Local,3rd Class,325,258,290,265,88.97
2024-01-02,Colombo Fort - Galle,Slow/Local,1st Class,25,19,30,14,63.33
2024-01-02,Colombo Fort - Galle,Slow/Local,2nd Class,150,114,180,84,63.33
2024-01-02,Colombo Fort - Galle,Slow/Local,3rd Class,325,257,290,195,88.62
2024-01-02,Colombo Fort - Kandy,Intercity,1st Class,37,24,26,23,92.31
2024-01-02,Colombo Fort - Kandy,Intercity,2nd Class,225,178,270,144,65.93
2024-01-02,Colombo Fort - Kandy,Intercity,3rd Class,487,338,453,297,74.61
2024-01-02,Colombo Fort - Matara,Slow/Local,1st Class,25,19,30,15,63.33
2024-01-02,Colombo Fort - Matara,Slow/Local,2nd Class,150,115,180,100,63.89
2024-01-02,Colombo Fort - Matara,Slow/Local,3rd Class,325,247,290,190,85.17
2024-01-02,Colombo Fort - Negombo,Express,1st Class,45,33,54,27,61.11
2024-01-02,Colombo Fort - Negombo,Express,2nd Class,270,194,324,168,59.88
2024-01-02,Colombo Fort - Negombo,Express,3rd Class,585,436,522,391,83.52
2024-01-02,Colombo Fort - Trincomalee,Night Mail,1st Class,32,25,38,23,65.79
2024-01-02,Colombo Fort - Trincomalee,Night Mail,2nd Class,195,154,234,140,65.81
2024-01-02,Colombo Fort - Trincomalee,Night Mail,3rd Class,422,346,377,315,91.78
2024-01-02,Colombo Fort - Vavuniya,Express,1st Class,45,32,32,32,100.0
2024-01-02,Colombo Fort - Vavuniya,Express,2nd Class,270,197,324,177,60.8
2024-01-02,Colombo Fort - Vavuniya,Express,3rd Class,585,422,544,341,77.57
2024-01-02,Maradana - Avissawella,Slow/Local,1st Class,25,20,30,13,66.67
2024-01-02,Maradana - Avissawella,Slow/Local,2nd Class,150,116,180,69,64.44
2024-01-02,Maradana - Avissawella,Slow/Local,3rd Class,325,251,290,183,86.55
2024-01-03,Colombo Fort - Anuradhapura,Express,1st Class,45,33,54,37,61.11
2024-01-03,Colombo Fort - Anuradhapura,Express,2nd Class,270,198,324,239,61.11
2024-01-03,Colombo Fort - Anuradhapura,Express,3rd Class,585,419,522,515,80.27
2024-01-03,Colombo Fort - Anuradhapura,Intercity,1st Class,37,26,26,20,100.0
2024-01-03,Colombo Fort - Anuradhapura,Intercity,2nd Class,225,176,270,104,65.19
2024-01-03,Colombo Fort - Anuradhapura,Intercity,3rd Class,487,346,453,252,76.38
2024-01-03,Colombo Fort - Batticaloa,Slow/Local,1st Class,25,18,18,25,100.0
2024-01-03,Colombo Fort - Batticaloa,Slow/Local,2nd Class,150,115,180,147,63.89
2024-01-03,Colombo Fort - Batticaloa,Slow/Local,3rd Class,325,256,302,304,84.77
2024-01-03,Colombo Fort - Jaffna,Express,1st Class,45,32,32,22,100.0
2024-01-03,Colombo Fort - Jaffna,Express,2nd Class,270,202,324,161,62.35
2024-01-03,Colombo Fort - Jaffna,Express,3rd Class,585,425,544,315,78.12
2024-01-03,Colombo Fort - Matara,Intercity,1st Class,37,26,26,19,100.0
2024-01-03,Colombo Fort - Matara,Intercity,2nd Class,225,173,270,131,64.07
2024-01-03,Colombo Fort - Matara,Intercity,3rd Class,487,333,453,248,73.51
2024-01-03,Colombo Fort - Negombo,Intercity,1st Class,37,25,26,21,96.15
2024-01-03,Colombo Fort - Negombo,Intercity,2nd Class,225,169,270,117,62.59
2024-01-03,Colombo Fort - Negombo,Intercity,3rd Class,487,337,453,280,74.39
2024-01-03,Colombo Fort - Puttalam,Intercity,1st Class,37,26,26,30,100.0
2024-01-03,Colombo Fort - Puttalam,Intercity,2nd Class,225,173,270,189,64.07
2024-01-03,Colombo Fort - Puttalam,Intercity,3rd Class,487,357,453,395,78.81
2024-01-03,Colombo Fort - Ratnapura,Night Mail,1st Class,32,25,38,24,65.79
2024-01-03,Colombo Fort - Ratnapura,Night Mail,2nd Class,195,150,234,135,64.1
2024-01-03,Colombo Fort - Ratnapura,Night Mail,3rd Class,422,326,377,258,86.47
2024-01-03,Colombo Fort - Trincomalee,Slow/Local,1st Class,25,20,30,16,66.67
2024-01-03,Colombo Fort - Trincomalee,Slow/Local,2nd Class,150,120,180,100,66.67
2024-01-03,Colombo Fort - Trincomalee,Slow/Local,3rd Class,325,251,290,199,86.55
2024-01-04,Colombo Fort - Anuradhapura,Express,1st Class,45,34,54,30,62.96
2024-01-04,Colombo Fort - Anuradhapura,Express,2nd Class,270,204,324,199,62.96
2024-01-04,Colombo Fort - Anuradhapura,Express,3rd Class,585,440,522,417,84.29
2024-01-04,Colombo Fort - Anuradhapura,Intercity,1st Class,37,27,44,26,61.36
2024-01-04,Colombo Fort - Anuradhapura,Intercity,2nd Class,225,166,270,160,61.48
2024-01-04,Colombo Fort - Anuradhapura,Intercity,3rd Class,487,342,435,357,78.62
2024-01-04,Colombo Fort - Badulla,Night Mail,1st Class,32,26,38,24,68.42
2024-01-04,Colombo Fort - Badulla,Night Mail,2nd Class,195,155,234,145,66.24
2024-01-04,Colombo Fort - Badulla,Night Mail,3rd Class,422,329,377,327,87.27
2024-01-04,Colombo Fort - Batticaloa,Slow/Local,1st Class,25,19,30,22,63.33
2024-01-04,Colombo Fort - Batticaloa,Slow/Local,2nd Class,150,117,180,127,65.0
2024-01-04,Colombo Fort - Batticaloa,Slow/Local,3rd Class,325,260,290,285,89.66
2024-01-04,Colombo Fort - Galle,Intercity,1st Class,37,26,26,20,100.0
2024-01-04,Colombo Fort - Galle,Intercity,2nd Class,225,168,270,113,62.22
2024-01-04,Colombo Fort - Galle,Intercity,3rd Class,487,351,453,260,77.48
2024-01-04,Colombo Fort - Galle,Slow/Local,1st Class,25,19,30,25,63.33
2024-01-04,Colombo Fort - Galle,Slow/Local,2nd Class,150,114,180,149,63.33
2024-01-04,Colombo Fort - Galle,Slow/Local,3rd Class,325,248,290,325,85.52
2024-01-04,Colombo Fort - Kurunegala,Express,1st Class,45,32,32,38,100.0
2024-01-04,Colombo Fort - Kurunegala,Express,2nd Class,270,202,324,241,62.35
2024-01-04,Colombo Fort - Kurunegala,Express,3rd Class,585,439,544,551,80.7
2024-01-04,Colombo Fort - Kurunegala,Intercity,1st Class,37,25,26,23,96.15
2024-01-04,Colombo Fort - Kurunegala,Intercity,2nd Class,225,175,270,145,64.81
2024-01-04,Colombo Fort - Kurunegala,Intercity,3rd Class,487,345,453,299,76.16
2024-01-04,Colombo Fort - Ratnapura,Slow/Local,1st Class,25,19,30,18,63.33
2024-01-04,Colombo Fort - Ratnapura,Slow/Local,2nd Class,150,110,180,112,61.11
2024-01-04,Colombo Fort - Ratnapura,Slow/Local,3rd Class,325,246,290,213,84.83
2024-01-04,Colombo Fort - Trincomalee,Night Mail,1st Class,32,24,38,24,63.16
2024-01-04,Colombo Fort - Trincomalee,Night Mail,2nd Class,195,157,234,124,67.09
2024-01-04,Colombo Fort - Trincomalee,Night Mail,3rd Class,422,320,377,319,84.88
2024-01-04,Colombo Fort - Vavuniya,Intercity,1st Class,37,27,44,26,61.36
2024-01-04,Colombo Fort - Vavuniya,Intercity,2nd Class,225,176,270,175,65.19
2024-01-04,Colombo Fort - Vavuniya,Intercity,3rd Class,487,352,435,357,80.92
2024-01-05,Colombo Fort - Anuradhapura,Express,1st Class,45,35,54,31,64.81
2024-01-05,Colombo Fort - Anuradhapura,Express,2nd Class,270,226,324,174,69.75
2024-01-05,Colombo Fort - Anuradhapura,Express,3rd Class,585,473,522,401,90.61
2024-01-05,Colombo Fort - Badulla,Intercity,1st Class,37,28,44,28,63.64
2024-01-05,Colombo Fort - Badulla,Intercity,2nd Class,225,151,158,184,95.57
2024-01-05,Colombo Fort - Badulla,Intercity,3rd Class,487,383,547,340,70.02
2024-01-05,Colombo Fort - Badulla,Slow/Local,1st Class,25,20,30,19,66.67
2024-01-05,Colombo Fort - Badulla,Slow/Local,2nd Class,150,125,180,105,69.44
2024-01-05,Colombo Fort - Badulla,Slow/Local,3rd Class,325,260,290,234,89.66
2024-01-05,Colombo Fort - Galle,Express,1st Class,45,35,54,45,64.81
2024-01-05,Colombo Fort - Galle,Express,2nd Class,270,230,324,263,70.99
2024-01-05,Colombo Fort - Galle,Express,3rd Class,585,482,522,585,92.34
2024-01-05,Colombo Fort - Galle,Night Mail,1st Class,32,28,38,32,73.68
2024-01-05,Colombo Fort - Galle,Night Mail,2nd Class,195,168,234,189,71.79
2024-01-05,Colombo Fort - Galle,Night Mail,3rd Class,422,354,377,422,93.9
2024-01-05,Colombo Fort - Galle,Slow/Local,1st Class,25,18,18,17,100.0
2024-01-05,Colombo Fort - Galle,Slow/Local,2nd Class,150,115,180,96,63.89
2024-01-05,Colombo Fort - Galle,Slow/Local,3rd Class,325,252,302,217,83.44
2024-01-05,Colombo Fort - Kandy,Intercity,1st Class,37,26,26,26,100.0
2024-01-05,Colombo Fort - Kandy,Intercity,2nd Class,225,183,270,156,67.78
2024-01-05,Colombo Fort - Kandy,Intercity,3rd Class,487,347,453,347,76.6
2024-01-05,Colombo Fort - Kurunegala,Express,1st Class,45,36,54,23,66.67
2024-01-05,Colombo Fort - Kurunegala,Express,2nd Class,270,227,324,154,70.06
2024-01-05,Colombo Fort - Kurunegala,Express,3rd Class,585,491,522,355,94.06
2024-01-05,Colombo Fort - Matara,Express,1st Class,45,36,54,37,66.67
2024-01-05,Colombo Fort - Matara,Express,2nd Class,270,227,324,225,70.06
2024-01-05,Colombo Fort - Matara,Express,3rd Class,585,497,522,442,95.21
2024-01-05,Colombo Fort - Matara,Slow/Local,1st Class,25,18,18,24,100.0
2024-01-05,Colombo Fort - Matara,Slow/Local,2nd Class,150,124,180,150,68.89
2024-01-05,Colombo Fort - Matara,Slow/Local,3rd Class,325,245,302,325,81.13
2024-01-05,Colombo Fort - Negombo,Intercity,1st Class,37,25,26,34,96.15
