record_id,date,year,month,day_of_week,day_type,is_public_holiday,holiday_name,is_covid_lockdown_period,origin_station,destination_station,line_name,distance_km,train_type,class,seat_capacity,tickets_sold,seat_utilization_pct,fare_lkr,revenue_lkr,delay_minutes
1,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Maradana,Avissawella,Kelani Valley Line,58,Intercity,1st Class,37,32,86.49,671.14,21476.48,3
2,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Maradana,Avissawella,Kelani Valley Line,58,Intercity,2nd Class,225,225,100.0,358.18,80590.5,9
3,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Maradana,Avissawella,Kelani Valley Line,58,Intercity,3rd Class,487,487,100.0,187.67,91395.29,0
4,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Ratnapura,Main Line branch,101,Night Mail,1st Class,32,26,81.25,1162.38,30221.88,14
5,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Ratnapura,Main Line branch,101,Night Mail,2nd Class,195,180,92.31,688.22,123879.6,19
6,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Ratnapura,Main Line branch,101,Night Mail,3rd Class,422,410,97.16,307.47,126062.7,6
7,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Kandy,Badulla,Main Line,171,Slow/Local,1st Class,25,23,92.0,1952.68,44911.64,0
8,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Kandy,Badulla,Main Line,171,Slow/Local,2nd Class,150,150,100.0,1148.53,172279.5,0
9,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Kandy,Badulla,Main Line,171,Slow/Local,3rd Class,325,302,92.92,529.81,160002.62,3
10,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Slow/Local,1st Class,25,16,64.0,3313.67,53018.72,23
11,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Slow/Local,2nd Class,150,139,92.67,1809.55,251527.45,0
12,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Slow/Local,3rd Class,325,325,100.0,893.8,290485.0,19
13,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Maradana,Avissawella,Kelani Valley Line,58,Slow/Local,1st Class,25,25,100.0,702.04,17551.0,8
14,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Maradana,Avissawella,Kelani Valley Line,58,Slow/Local,2nd Class,150,129,86.0,364.38,47005.02,50
15,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Maradana,Avissawella,Kelani Valley Line,58,Slow/Local,3rd Class,325,325,100.0,180.01,58503.25,18
16,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Jaffna,Northern Line,396,Express,1st Class,45,40,88.89,4569.46,182778.4,17
17,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Jaffna,Northern Line,396,Express,2nd Class,270,270,100.0,2530.47,683226.9,6
18,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Jaffna,Northern Line,396,Express,3rd Class,585,585,100.0,1284.63,751508.55,3
19,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Anuradhapura,Northern Line,205,Intercity,1st Class,37,27,72.97,2512.46,67836.42,11
20,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Anuradhapura,Northern Line,205,Intercity,2nd Class,225,225,100.0,1335.53,300494.25,23
21,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Anuradhapura,Northern Line,205,Intercity,3rd Class,487,324,66.53,630.28,204210.72,8
